geolocation,name,nametype,:@computed_region_nnqa_25f4,fall,year,recclass,reclat,reclong,id,mass,:@computed_region_cbhk_fwbd
"{'type': 'Point', 'coordinates': [-119.75812, 38.13742]}",Red Canyon Lake,Valid,1391,Fell,2007-01-01T00:00:00.000,H5,38.137420,-119.758120,53502,18.41,8
"{'type': 'Point', 'coordinates': [-5.33333, 42.475]}",Reliegos,Valid,,Fell,1947-01-01T00:00:00.000,L5,42.475000,-5.333330,22584,17300,
"{'type': 'Point', 'coordinates': [111.36667, -6.73333]}",Rembang,Valid,,Fell,1919-01-01T00:00:00.000,"Iron, IVA",-6.733330,111.366670,22585,10000,
"{'type': 'Point', 'coordinates': [11.28333, 44.76667]}",Renazzo,Valid,,Fell,1824-01-01T00:00:00.000,CR2,44.766670,11.283330,22586,1000,
"{'type': 'Point', 'coordinates': [-65.28333, -32.75]}",Renca,Valid,,Fell,1925-01-01T00:00:00.000,L5,-32.750000,-65.283330,22587,300,
"{'type': 'Point', 'coordinates': [116.13333, 38.66667]}",Renqiu,Valid,,Fell,1916-01-01T00:00:00.000,L6,38.666670,116.133330,22589,355,
"{'type': 'Point', 'coordinates': [45.66667, 48.6]}",Repeev Khutor,Valid,,Fell,1933-01-01T00:00:00.000,"Iron, IIF",48.600000,45.666670,22590,7000,
"{'type': 'Point', 'coordinates': [-118.95, 51.33333]}",Revelstoke,Valid,,Fell,1965-01-01T00:00:00.000,CI1,51.333330,-118.950000,22592,1,
"{'type': 'Point', 'coordinates': [76.66667, 28.2]}",Rewari,Valid,,Fell,1929-01-01T00:00:00.000,L6,28.200000,76.666670,22593,3332,
"{'type': 'Point', 'coordinates': [-83.03333, 35.03333]}",Rich Mountain,Valid,2388,Fell,1903-01-01T00:00:00.000,L6,35.033330,-83.033330,22597,668,37
"{'type': 'Point', 'coordinates': [-66.15, -44.11667]}",Uzcudun,Valid,,Fell,1948-01-01T00:00:00.000,L,-44.116670,-66.150000,24140,20000,
"{'type': 'Point', 'coordinates': [-102.31667, 46.88333]}",Richardton,Valid,569,Fell,1918-01-01T00:00:00.000,H5,46.883330,-102.316670,22599,90000,3
"{'type': 'Point', 'coordinates': [-99.03333, 31.25]}",Richland Springs,Valid,2885,Fell,1980-01-01T00:00:00.000,OC,31.250000,-99.033330,22602,1900,23
"{'type': 'Point', 'coordinates': [-77.5, 37.46667]}",Richmond,Valid,2764,Fell,1828-01-01T00:00:00.000,LL5,37.466670,-77.500000,22603,1800,40
"{'type': 'Point', 'coordinates': [-49.8, -26.1]}",Rio Negro,Valid,,Fell,1934-01-01T00:00:00.000,L4,-26.100000,-49.800000,22611,1310,
"{'type': 'Point', 'coordinates': [9.51667, 45.48333]}",Rivolta de Bassi,Valid,,Fell,1491-01-01T00:00:00.000,Stone-uncl,45.483330,9.516670,22614,103.3,
"{'type': 'Point', 'coordinates': [-86.28333, 41.08333]}",Rochester,Valid,150,Fell,1876-01-01T00:00:00.000,H6,41.083330,-86.283330,22637,340,35
